group_key,n_members,avg_ret_6m,group_rs_6m,group_rs_100,group_rs_99,group_rank,group_grade
Communication Services | Advertising Agencies,39,1.152200151530354,3.1001455104458553,100.0,99.0,1,A
Basic Materials | Silver,4,1.3441713178878592,2.079643728611991,99.31506849315068,98.32191780821917,2,A
Basic Materials | Other Precious Metals & Mining,14,1.3107285714864967,2.019945581249611,98.63013698630137,97.64383561643835,3,A
Basic Materials | Gold,45,1.2939462878465782,1.8099040012677057,97.94520547945206,96.96575342465754,4,A
Healthcare | Drug Manufacturers - Specialty & Generic,81,0.12551483573204048,1.5553943144218443,97.26027397260275,96.28767123287672,5,A
Basic Materials | Copper,6,0.9904000686448283,1.4373507960512395,96.57534246575342,95.60958904109589,6,A
Basic Materials | Other Industrial Metals & Mining,39,0.8537825101073013,1.3706631528713336,95.8904109589041,94.93150684931506,7,A
Basic Materials | Coking Coal,5,0.7875180879467587,1.2953462193798948,95.2054794520548,94.25342465753425,8,A
Basic Materials | Aluminum,4,0.8077472754400772,1.101312967184291,94.52054794520548,93.57534246575342,9,A
Energy | Uranium,8,0.45344106374791615,1.006867477638112,93.83561643835617,92.8972602739726,10,A
Technology | Semiconductor Equipment & Materials,29,0.8566433836034919,0.9258719464484477,93.15068493150685,92.21917808219177,11,A
Healthcare | Biotechnology,606,0.3145965375029122,0.8778674637301633,92.46575342465754,91.54109589041096,12,A
Technology | Communication Equipment,44,0.4792147205609689,0.8648253224269635,91.78082191780823,90.86301369863014,13,A
Financial Services | Financial Conglomerates,7,0.3920757176873753,0.7700904724981051,91.0958904109589,90.18493150684931,14,A
Healthcare | Medical Distribution,12,0.41031251110333966,0.636803057809167,90.41095890410958,89.5068493150685,15,A
Technology | Solar,22,0.3351651514808664,0.5594798838581476,89.72602739726028,88.82876712328768,16,B
Industrials | Aerospace & Defense,70,0.3009745794387696,0.5549923417449513,89.04109589041096,88.15068493150685,17,B
Technology | Computer Hardware,36,0.3842385387497226,0.5341938884457798,88.35616438356165,87.47260273972603,18,B
Utilities | Utilities - Independent Power Producers,8,0.09187678439564917,0.5269574377464331,87.67123287671232,86.7945205479452,19,B
Industrials | Electrical Equipment & Parts,46,0.38450545849500906,0.521537356353247,86.98630136986301,86.11643835616438,20,B
Consumer Cyclical | Department Stores,4,0.4195795956385277,0.507685820033533,86.3013698630137,85.43835616438356,21,B
Financial Services | Banks - Diversified,17,0.25912394813149214,0.4839855771694765,85.61643835616438,84.76027397260273,22,B
Technology | Semiconductors,64,0.29640251033851384,0.47230066303069723,84.93150684931507,84.08219178082192,23,B
Technology | Electronic Components,46,0.31555010358280794,0.4642908951316386,84.24657534246576,83.4041095890411,24,B
Healthcare | Diagnostics & Research,48,0.3985496726981525,0.4464141919400141,83.56164383561644,82.72602739726028,25,B
Real Estate | Real Estate - Diversified,2,0.37028099908345746,0.4251171137222636,82.87671232876713,82.04794520547945,26,B
Consumer Cyclical | Travel Services,20,0.05592768631790178,0.3971016383787388,82.1917808219178,81.36986301369862,27,B
Energy | Thermal Coal,6,0.32272825073244277,0.3946899914970808,81.5068493150685,80.69178082191782,28,B
Industrials | Airports & Air Services,6,0.1388542519118058,0.36106775788334705,80.82191780821918,80.01369863013699,29,B
Industrials | Specialty Industrial Machinery,73,0.20644919978826604,0.343339436469512,80.13698630136986,79.33561643835617,30,B
Energy | Oil & Gas Drilling,9,0.44645946526799324,0.33338565657461117,79.45205479452055,78.65753424657534,31,B
Energy | Oil & Gas Equipment & Services,44,0.3283464010897351,0.32435611401303516,78.76712328767124,77.97945205479452,32,B
Industrials | Engineering & Construction,51,0.13191039670432075,0.30458861618549204,78.08219178082192,77.3013698630137,33,B
Industrials | Specialty Business Services,43,0.026539818174498506,0.30211042710684577,77.3972602739726,76.62328767123287,34,B
Basic Materials | Steel,22,0.1914671133889815,0.29402723396715486,76.71232876712328,75.94520547945206,35,B
Utilities | Utilities - Renewable,20,0.19866516597817693,0.28812502616009983,76.02739726027397,75.26712328767124,36,B
Financial Services | Mortgage Finance,10,0.23572081063295477,0.2721885045666247,75.34246575342466,74.58904109589041,37,B
Real Estate | REIT - Healthcare Facilities,15,0.15929756902775677,0.2575413304686624,74.65753424657534,73.91095890410959,38,B
Consumer Defensive | Discount Stores,8,0.12301583023463451,0.24821702008082863,73.97260273972603,73.23287671232876,39,B
Industrials | Tools & Accessories,7,0.1559066254690545,0.24206070588275067,73.28767123287672,72.55479452054794,40,B
Consumer Cyclical | Auto Parts,54,0.08549267441926825,0.23862292571373445,72.6027397260274,71.87671232876713,41,B
Industrials | Conglomerates,24,0.24259130722694955,0.22640150342099716,71.91780821917808,71.1986301369863,42,B
Consumer Cyclical | Luxury Goods,10,0.27675297839042823,0.22184325351686582,71.23287671232876,70.52054794520548,43,B
Energy | Oil & Gas Refining & Marketing,15,0.053649518352934154,0.21585272663793217,70.54794520547945,69.84246575342466,44,B
Industrials | Airlines,17,0.20549968399587304,0.21571446225354032,69.86301369863014,69.16438356164383,45,C
Utilities | Utilities - Diversified,6,0.09755865184447154,0.20372399514786252,69.17808219178082,68.48630136986301,46,C
Financial Services | Capital Markets,88,0.00983937083010592,0.19991369823940977,68.4931506849315,67.80821917808218,47,C
Consumer Cyclical | Lodging,12,0.20791645158826486,0.1987591954035494,67.8082191780822,67.13013698630138,48,C
Real Estate | Real Estate - Development,14,0.04721497478328945,0.1965986641051028,67.12328767123287,66.45205479452055,49,C
Industrials | Metal Fabrication,16,-0.0016252763065503148,0.19586949469642234,66.43835616438356,65.77397260273972,50,C
Healthcare | Medical Care Facilities,48,0.11336992838050249,0.19405488287604106,65.75342465753424,65.0958904109589,51,C
