symbol,last_date,last_close,ret_3m,ret_6m,ret_9m,ret_12m,onil_weighted_ret,avg_vol_50,avg_dollar_vol_50,rs_onil,rs_onil_99,group_key,n_members,avg_ret_6m,group_rs_6m,group_rs_99,group_rs_100,group_rank,group_grade,sales_growth,profit_margin,roe,smr_score,smr_grade
AACB,2026-01-23,10.359999656677246,0.0156862598435318,0.0216961840143687,0.0443547960684775,,0.0315230089987139,26038.0,269753.67106056213,44.774958934112064,44.774958934112064,Financial Services | Shell Companies,277,0.0671362337032112,0.0656405421325408,42.04109589041096,42.465753424657535,85,C,,,,,
AACBU,2026-01-23,10.579999923706056,-0.0158139605854832,0.0251938213730988,0.0464886531146806,,0.0255892917542442,64.0,677.1199951171875,43.835371418142,43.835371418142,Financial Services | Shell Companies,277,0.0671362337032112,0.0656405421325408,42.04109589041096,42.465753424657535,85,C,,,,,
AACG,2026-01-23,1.1100000143051147,-0.1190476010265623,0.0277777501830358,0.2065217327925119,0.2471910473554222,0.1519066795439663,21540.0,23909.40030813217,64.36174484394962,64.36174484394962,Consumer Defensive | Education & Training Services,39,-0.146186770569168,-0.0659065974350995,20.34246575342465,20.54794520547945,117,D,,,,,
AAL,2026-01-23,14.670000076293944,0.2133994947182693,0.2801047144382047,0.5740343944904636,-0.2138263560420941,0.1428705614301598,54761510.0,803351355.8779716,63.3318123745209,63.3318123745209,Industrials | Airlines,16,0.2575835006259194,0.2509383842842504,72.55479452054794,73.28767123287672,40,B,,,,,
AAME,2026-01-23,2.7100000381469727,-0.1056105400212341,0.1938326259548559,0.759740328101129,0.822526827463087,0.5821833177893058,27136.0,73538.56103515625,85.35791202774229,85.35791202774229,Financial Services | Insurance - Life,20,0.1531291928355475,0.1219998670088903,52.21232876712329,52.73972602739726,70,C,,,,,
AAOI,2026-01-23,35.720001220703125,0.1916597419890244,0.3823529802543652,2.063464981831113,0.0726727339065307,0.7027086982321727,4878620.0,174264312.35534668,87.76108778974266,87.76108778974266,Technology | Communication Equipment,44,0.4792147205609689,0.8648253240886998,90.86301369863014,91.78082191780824,13,A,,,,,
AAON,2026-01-23,94.45999908447266,-0.0321345989968364,0.2206903881630391,0.1549680358737031,-0.3071097985753875,-0.0604053621160791,975224.0,92119658.14715576,32.14473444059135,32.14473444059135,Industrials | Building Products & Equipment,28,-0.1355150296797636,-0.1035148438562297,16.273972602739725,16.43835616438356,123,E,,,,,
AAPG,2026-01-23,26.479999542236328,-0.2133095762841426,-0.334004007543046,0.1079497893257586,,-0.0828535012939178,4204.0,111321.91807556152,29.958386566891768,29.958386566891768,Healthcare | Biotechnology,599,0.3148473459207517,0.8857514534038433,91.54109589041096,92.46575342465754,12,A,,,,,
AAPL,2026-01-23,248.0399932861328,-0.0393482775868818,0.1628097570857645,0.2164621924271181,0.1131744107685082,0.1279870138083776,45031256.0,11169552435.906128,61.59718926811462,61.59718926811462,Technology | Consumer Electronics,17,-0.2030116039088706,-0.1761714747951846,9.493150684931509,9.58904109589041,133,E,,,,,
AARD,2026-01-23,15.010000228881836,0.3682771069746973,0.1143281315014197,0.7617370214111066,,0.5015198203245825,212194.0,3185031.9885673523,83.11735718196752,83.11735718196752,Healthcare | Biotechnology,599,0.3148473459207517,0.8857514534038433,91.54109589041096,92.46575342465754,12,A,,,,,
ABAT,2026-01-23,4.699999809265137,-0.2087542484865838,0.3946587444721554,3.234234007832373,1.6704544515525992,1.6665336951868734,6697582.0,31478634.122537613,95.6753057127213,95.6753057127213,Industrials | Waste Management,17,-0.0856103841251325,0.0429066332938552,35.26027397260274,35.61643835616438,95,D,,,,,
ABCL,2026-01-23,4.239999771118164,-0.2248629005944424,-0.1553785284406295,0.6758892565477235,0.2011330893719143,0.2249909074537311,4204634.0,17827647.19763565,70.4329257163716,70.4329257163716,Healthcare | Biotechnology,599,0.3148473459207517,0.8857514534038433,91.54109589041096,92.46575342465754,12,A,,,,,
ABEO,2026-01-23,5.159999847412109,-0.0462107221906094,-0.2240601844492147,-0.0114942423737794,0.0038910469739348,-0.0402266072093683,1662810.0,8580099.34627533,33.933564519072824,33.933564519072824,Healthcare | Biotechnology,599,0.3148473459207517,0.8857514534038433,91.54109589041096,92.46575342465754,12,A,,,,,
ABLV,2026-01-23,0.7260000109672546,-0.2193548329208114,-0.3214953501137668,-0.3631578771251278,-0.3345554198106615,-0.324404599530974,450974.0,327407.1289459467,15.774228873882096,15.774228873882096,Consumer Cyclical | Specialty Retail,45,-0.0676040432338678,-0.0543361600367077,23.054794520547944,23.28767123287671,113,D,,,,,
ABNB,2026-01-23,132.14999389648438,0.0364705403645833,-0.0668690972123456,0.1172640789679753,-0.002641555498231,0.0280292763704992,4570030.0,603929436.6067505,44.25095820405184,44.25095820405184,Consumer Cyclical | Travel Services,18,0.0829857933557776,0.4383796540022179,81.36986301369862,82.1917808219178,27,B,,,,,
ABOS,2026-01-23,1.9800000190734863,0.0702702667871646,0.2298136655160625,0.9411765255867552,0.1314285823277063,0.368103247208551,183628.0,363583.44350242615,78.18452272312466,78.18452272312466,Healthcare | Biotechnology,599,0.3148473459207517,0.8857514534038433,91.54109589041096,92.46575342465754,12,A,,,,,
ABP,2026-01-23,2.6059999465942383,-0.5803542784885629,-0.6734335914328975,-0.731893016975108,-0.9356543223063152,-0.7892195529700887,20068.0,52297.20692825317,3.162073371053112,3.162073371053112,Healthcare | Biotechnology,599,0.3148473459207517,0.8857514534038433,91.54109589041096,92.46575342465754,12,A,,,,,
ABSI,2026-01-23,2.9100000858306885,-0.320886770255509,-0.1709401442344104,-0.0877742841276757,-0.2779156490492896,-0.2144460614133057,4198290.0,12217024.26034212,20.99616718379266,20.99616718379266,Healthcare | Biotechnology,599,0.3148473459207517,0.8857514534038433,91.54109589041096,92.46575342465754,12,A,,,,,
ABTC,2026-01-23,1.5299999713897705,-0.6592427506942282,-0.7450000047683716,0.4926829336371756,-0.2463054221905688,-0.165399022108565,13262766.0,20292031.60054922,23.8329987223946,23.8329987223946,Financial Services | Capital Markets,84,0.0090328514584763,0.2003862005416064,67.80821917808218,68.4931506849315,47,C,,,,,
ABTS,2026-01-23,5.300000190734863,-0.2194403209851469,0.1471862168874258,1.0622569371227106,9.21194653957134,4.241157055551674,12790.0,67787.0024394989,98.3133783537142,98.3133783537142,Financial Services | Capital Markets,84,0.0090328514584763,0.2003862005416064,67.80821917808218,68.4931506849315,47,C,,,,,
ABUS,2026-01-23,4.059999942779541,-0.0835214220985292,0.2530863984040672,0.2530863984040672,0.2608695362440292,0.2083351974065371,1381746.0,5609888.68093586,69.20423434933382,69.20423434933382,Healthcare | Biotechnology,599,0.3148473459207517,0.8857514534038433,91.54109589041096,92.46575342465754,12,A,,,,,
ABVC,2026-01-23,2.059999942779541,-0.2695035490973616,-0.3661538637601412,1.3515981427573451,2.961538496807484,1.5645934804399482,65738.0,135420.27623844147,95.1693739733528,95.1693739733528,Healthcare | Biotechnology,599,0.3148473459207517,0.8857514534038433,91.54109589041096,92.46575342465754,12,A,,,,,
ABVE,2026-01-23,2.3399999141693115,-0.40759496558956,0.3448275295080671,3.3093922433608327,4.142856806002017,2.712083924092318,1937240.0,4533141.433725357,97.50027377258624,97.50027377258624,Consumer Defensive | Packaged Foods,60,-0.1708947812660367,-0.1210826123298828,13.561643835616438,13.6986301369863,127,E,,,,,
ABVX,2026-01-23,122.12000274658205,0.3462683715039967,0.7505733802602328,17.051737643274063,18.601926544575434,13.00087095314838,1806456.0,220604411.6815796,98.92772403723306,98.92772403723306,Healthcare | Biotechnology,599,0.3148473459207517,0.8857514534038433,91.54109589041096,92.46575342465754,12,A,,,,,
ACAD,2026-01-23,26.84000015258789,0.2547920017976695,0.1644252078513588,0.8358413380768304,0.5070185826739273,0.5159936619749245,1415824.0,38000716.3760376,83.44259901441869,83.44259901441869,Healthcare | Biotechnology,599,0.3148473459207517,0.8857514534038433,91.54109589041096,92.46575342465754,12,A,,,,,
ACB,2026-01-23,4.429999828338623,-0.1227723443523314,-0.0790021037341901,0.0068181209820374,0.1476683805009915,0.0364095621972182,1748092.0,7744047.25992012,45.7506844314656,45.7506844314656,Healthcare | Drug Manufacturers - Specialty & Generic,78,0.1365554374164184,1.6140894154358183,96.28767123287672,97.26027397260276,5,A,,,,,
ACCL,2026-01-23,1.440000057220459,-0.3333333333333333,,,,-0.3333333333333333,609156.0,877184.6748561859,15.467056032122647,15.467056032122647,Industrials | Consulting Services,23,-0.2013323770798083,-0.0777285039043741,18.98630136986301,19.17808219178082,119,E,,,,,
ACDC,2026-01-23,5.050000190734863,0.3289474352905304,-0.3833943285136875,0.0978261511808094,-0.418872216963661,-0.159344463107503,1196382.0,6041729.328191757,24.266654498996168,24.266654498996168,Energy | Oil & Gas Equipment & Services,35,0.3409809567342867,0.3198586654208517,77.97945205479452,78.76712328767124,32,B,,,,,
ACET,2026-01-23,8.4399995803833,-0.4216009062520239,-0.3202320126091471,-0.1222962326989092,-0.4253812814401521,-0.3232241755113493,176329.06,1488217.1924093815,15.81036685526556,15.81036685526556,Healthcare | Biotechnology,599,0.3148473459207517,0.8857514534038433,91.54109589041096,92.46575342465754,12,A,,,,,
ACFN,2026-01-23,18.670000076293945,-0.2158756616941822,0.0366462986687639,0.2875862121582031,0.0091891933131862,0.0605015201757923,45302.0,845788.3434562683,51.062967694834825,51.062967694834825,Technology | Scientific & Technical Instruments,30,0.0173835217844414,0.0003675730203115,30.513698630136982,30.82191780821918,102,D,,,,,
ACGL,2026-01-23,92.95999908447266,0.0578061218687293,0.0563636259599165,0.0048643058896433,-0.0026821156791712,0.0165502875100598,2197994.0,204325520.2276764,42.13688629311918,42.13688629311918,Financial Services | Insurance - Diversified,11,0.0415520405059801,0.1070788663935706,48.821917808219176,49.31506849315068,75,C,,,,,
ACGLN,2026-01-23,17.780000686645508,0.0099429397424741,0.0873029842088768,0.0908010854837784,0.0133922912601305,0.0455749955284713,56220.0,999591.6386032104,47.864756342398245,47.864756342398245,Financial Services | Insurance - Diversified,11,0.0415520405059801,0.1070788663935706,48.821917808219176,49.31506849315068,75,C,,,,,
ACGLO,2026-01-23,21.15999984741211,-0.010227619560067,0.0635558447793611,0.0757321281131475,0.0276983680860611,0.0411267979576818,30322.0,641613.51537323,46.979375798503376,46.979375798503376,Financial Services | Insurance - Diversified,11,0.0415520405059801,0.1070788663935706,48.821917808219176,49.31506849315068,75,C,,,,,
ACHC,2026-01-23,15.229999542236328,-0.3508098833509109,-0.299448035759892,-0.281603821030965,-0.6558969697288333,-0.4544509243370332,3307070.0,50366674.58614349,11.166636247490418,11.166636247490418,Healthcare | Medical Care Facilities,46,0.070977686187276,0.167114899986746,58.31506849315069,58.9041095890411,61,C,,,,,
ACHV,2026-01-23,5.599999904632568,0.0958903636625085,1.0740740021233384,1.3045266464151513,0.824104243128555,0.8930471982859736,638638.0,3576372.739094734,90.435298412119,90.435298412119,Healthcare | Biotechnology,599,0.3148473459207517,0.8857514534038433,91.54109589041096,92.46575342465754,12,A,,,,,
ACIC,2026-01-23,11.0600004196167,-0.0143979599320691,0.1030237242456619,0.0536051467365747,-0.0282452174351675,0.0158714864973199,146728.0,1622811.741569519,42.01040335827706,42.01040335827706,Financial Services | Insurance - Property & Casualty,40,0.0488397926908348,0.1011556994654308,47.46575342465753,47.94520547945205,77,C,,,,,
ACIU,2026-01-23,3.700000047683716,0.3857677685236049,0.5226337226489501,1.3417721184719995,0.3653136515133333,0.6696980975223649,789296.0,2920395.237636566,87.14674210622375,87.14674210622375,Healthcare | Biotechnology,599,0.3148473459207517,0.8857514534038433,91.54109589041096,92.46575342465754,12,A,,,,,
ACIW,2026-01-23,44.02999877929688,-0.1108643301235285,-0.0204672295445454,-0.1475315105801899,-0.1673601004171423,-0.1326392688685544,687252.0,30259704.721069336,26.1458295309363,26.1458295309363,Technology | Software - Infrastructure,143,-0.0139249808133405,-0.0181305670652802,28.47945205479452,28.767123287671232,105,D,,,,,
ACLS,2026-01-23,91.12000274658205,0.1194103321682729,0.250789356968224,0.9834568017075628,0.2910172907715893,0.4585950235523415,518668.0,47261029.58456421,81.9248037963132,81.9248037963132,Technology | Semiconductor Equipment & Materials,30,0.8702925507689395,0.937578867657329,92.21917808219176,93.15068493150685,11,A,,,,,
ACLX,2026-01-23,67.69999694824219,-0.1878599273926197,-0.0365732149935686,0.063963473390014,0.0280941308578486,-0.0017462575760877,1156550.0,78298431.4704895,38.43274320131411,38.43274320131411,Healthcare | Biotechnology,599,0.3148473459207517,0.8857514534038433,91.54109589041096,92.46575342465754,12,A,,,,,
ACMR,2026-01-23,49.84999847412109,0.3247408200676387,0.6728187835698167,1.5266092058140397,1.6672015542900902,1.2931975254479724,1312460.0,65426128.99734497,93.7057857273225,93.7057857273225,Technology | Semiconductor Equipment & Materials,30,0.8702925507689395,0.937578867657329,92.21917808219176,93.15068493150685,11,A,,,,,
ACNB,2026-01-23,49.02999877929688,0.1132686196266676,0.1667545240500623,0.2046899312395487,0.3118313986600109,0.2321281717336943,25328.0,1241831.8090820312,70.97499543712357,70.97499543712357,Financial Services | Banks - Regional,347,0.1285000612285435,0.1811221622095878,60.34931506849315,60.95890410958904,58,C,,,,,
ACNT,2026-01-23,16.200000762939453,0.3545151096378598,0.2375859873261128,0.2607004110521722,0.4986124083345662,0.3727627348674308,67992.0,1101470.4518737793,78.45555758350064,78.45555758350064,Basic Materials | Chemicals,12,0.0100791427619531,0.0440695193982044,36.61643835616438,36.98630136986301,93,D,,,,,
